"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + woodland + s(day of year):life-stage + altitude:life-stage",52,"11.18"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",48,"11.28"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage",48,"11.28"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + other + s(day of year):life-stage + altitude:life-stage",52,"11.29"
"life-stage + organisation + year + pass + life-stage:pass + width + distance to sea + s(day of year) + altitude:life-stage",50,"11.36"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + distance to sea:life-stage",52,"11.38"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + distance to sea:pass",52,"11.53"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width) + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"11.61"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + width:life-stage + altitude:life-stage",50,"11.78"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + width:pass + altitude:life-stage",50,"11.84"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"11.91"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + marsh + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"12.34"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(upstream catchment area) + s(day of year):life-stage + altitude:life-stage",53,"12.36"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(urban) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"12.57"
"life-stage + organisation + year + pass + life-stage:pass + altitude + distance to sea + s(day of year) + altitude:life-stage",49,"12.58"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + woodland + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"12.68"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + other + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"12.87"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + urban:pass",53,"12.96"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:pass + altitude:life-stage",51,"13.13"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + distance to sea:pass",50,"13.16"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(upstream catchment area) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"13.62"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + urban:life-stage",51,"14.04"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + urban:pass",51,"14.48"
"organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",49,"14.61"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year)",49,"14.61"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + altitude:life-stage",49,"14.61"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + urban + s(day of year) + altitude:life-stage",51,"14.72"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + day of year + s(distance to sea) + s(day of year) + altitude:life-stage",49,"14.73"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + distance to sea:life-stage",51,"14.87"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(gradient) + s(day of year):life-stage + altitude:life-stage",53,"15.18"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(marsh) + s(day of year):life-stage + altitude:life-stage",53,"15.23"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + upstream catchment area + s(day of year) + altitude:life-stage",51,"15.23"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(urban) + s(day of year) + altitude:life-stage",52,"15.27"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + day of year:life-stage",50,"15.52"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(day of year):life-stage",50,"15.62"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + day of year:pass",51,"15.73"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + gradient + s(day of year) + altitude:life-stage",51,"15.76"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + gradient:pass",53,"16.02"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(altitude) + s(day of year) + altitude:life-stage",51,"16.30"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width) + s(day of year) + altitude:life-stage",51,"16.60"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + urban:life-stage",53,"16.60"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + gradient:life-stage",53,"16.76"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(marsh) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"16.82"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(gradient) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"16.84"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + width:life-stage + altitude:life-stage",51,"16.91"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + width:pass + altitude:life-stage",51,"17.00"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year)",49,"17.14"
"life-stage + organisation + year + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",49,"17.14"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year)",48,"17.30"
"life-stage + organisation + year + pass + life-stage:pass + width + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",48,"17.30"
"organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year)",48,"17.30"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year)",48,"17.30"
"life-stage + organisation + year + life-stage:pass + width + altitude + s(distance to sea) + s(day of year)",48,"17.30"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(day of year)",46,"17.35"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + marsh + s(day of year) + altitude:life-stage",51,"17.47"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + day of year + s(distance to sea) + s(day of year)",48,"17.53"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(day of year):life-stage + altitude:life-stage",50,"17.58"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + gradient:pass",51,"17.70"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(day of year) + s(day of year):life-stage + altitude:life-stage",48,"17.71"
"life-stage + organisation + year + pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",48,"17.75"
