"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + distance to sea:pass",50,"26.53"
"life-stage + organisation + year + pass + width + s(distance to sea) + s(day of year)",46,"26.62"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width):life-stage + s(day of year):life-stage + altitude:life-stage",54,"26.62"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + woodland + s(distance to sea) + s(day of year)",49,"26.63"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(altitude):life-stage + altitude:life-stage",52,"26.65"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(woodland) + s(day of year) + altitude:life-stage",52,"26.78"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + other + s(distance to sea) + s(day of year)",49,"26.83"
"life-stage + organisation + year + pass + life-stage:pass + width + gradient + s(distance to sea) + s(day of year)",48,"26.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width, by=pass) + s(day of year):life-stage + altitude:life-stage",54,"27.01"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + marsh:pass",52,"27.02"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + urban:pass",51,"27.41"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(urban, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"27.79"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(width):life-stage + s(day of year):life-stage + altitude:life-stage",52,"27.82"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(distance to sea, by=pass) + s(day of year):life-stage + altitude:life-stage",52,"27.90"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(distance to sea, by=pass) + altitude:life-stage",52,"27.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(upstream catchment area) + s(day of year)",50,"27.97"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(upstream catchment area) + s(day of year)",49,"28.27"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(width, by=pass) + s(day of year):life-stage + altitude:life-stage",52,"28.33"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year)",49,"28.44"
"life-stage + organisation + year + pass + life-stage:pass + width + s(altitude) + s(distance to sea) + s(day of year)",49,"28.44"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(day of year):life-stage",53,"28.87"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(upstream catchment area):life-stage + s(day of year):life-stage + altitude:life-stage",55,"29.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + urban:life-stage",51,"29.62"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(marsh) + s(day of year) + altitude:life-stage",51,"29.89"
"life-stage + organisation + year + pass + s(distance to sea) + s(day of year)",48,"29.91"
"life-stage + organisation + year + pass + life-stage:pass + width + urban + s(distance to sea) + s(day of year)",48,"29.97"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(gradient):life-stage + s(day of year):life-stage + altitude:life-stage",55,"30.05"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(altitude, by=pass) + altitude:life-stage",53,"30.11"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(altitude):life-stage",51,"30.13"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(marsh) + s(day of year)",50,"30.43"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(urban):life-stage + altitude:life-stage",54,"31.11"
"life-stage + organisation + year + pass + life-stage:pass + width + woodland + s(distance to sea) + s(day of year)",48,"31.14"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(distance to sea) + s(day of year)",50,"31.14"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + gradient:pass",51,"31.24"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(gradient) + s(day of year)",50,"31.43"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(distance to sea) + s(day of year)",51,"31.54"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(distance to sea) + s(day of year)",51,"31.54"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(distance to sea) + s(day of year)",51,"31.54"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",51,"31.54"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(day of year)",51,"31.54"
"organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",51,"31.54"
"life-stage + organisation + year + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",51,"31.54"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(distance to sea) + s(day of year)",51,"31.54"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(distance to sea) + s(day of year)",50,"31.56"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(upstream catchment area):life-stage + s(day of year):life-stage + altitude:life-stage",53,"31.66"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(distance to sea):life-stage + altitude:life-stage",51,"31.76"
"life-stage + organisation + year + pass + life-stage:pass + width + marsh + s(distance to sea) + s(day of year)",48,"31.83"
"life-stage + organisation + year + pass + life-stage:pass + width + other + s(distance to sea) + s(day of year)",48,"31.84"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(distance to sea) + s(day of year)",50,"31.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(day of year, by=pass)",50,"31.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(upstream catchment area, by=pass) + altitude:life-stage",54,"32.01"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(marsh):life-stage + s(day of year):life-stage + altitude:life-stage",55,"32.25"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(day of year, by=pass) + altitude:life-stage",51,"32.39"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + upstream catchment area:life-stage",51,"32.43"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(other) + s(day of year) + altitude:life-stage",51,"32.45"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(distance to sea):life-stage",50,"32.53"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(width):life-stage + altitude:life-stage",53,"32.54"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + woodland:pass",51,"32.55"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(gradient) + s(day of year) + altitude:life-stage",51,"32.60"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(urban, by=pass) + altitude:life-stage",54,"32.67"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + gradient:life-stage",51,"32.79"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(urban) + s(day of year)",49,"32.86"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(altitude, by=pass)",52,"32.87"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(altitude):life-stage",53,"32.92"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(altitude):life-stage",53,"32.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(gradient):life-stage + s(day of year):life-stage + altitude:life-stage",53,"32.98"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(width, by=pass) + altitude:life-stage",53,"33.20"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(gradient, by=pass) + s(day of year):life-stage + altitude:life-stage",55,"33.23"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + other:pass",51,"33.44"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(marsh):life-stage + s(day of year):life-stage + altitude:life-stage",53,"33.58"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + upstream catchment area:pass",51,"33.71"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(marsh, by=pass) + s(day of year):life-stage + altitude:life-stage",55,"33.75"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(other):life-stage + s(day of year):life-stage + altitude:life-stage",55,"33.87"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(woodland):life-stage + s(day of year):life-stage + altitude:life-stage",55,"34.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + marsh:life-stage",51,"34.48"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + woodland:life-stage",51,"34.70"
"life-stage + organisation + year + pass + s(width) + s(distance to sea) + s(day of year)",50,"34.71"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(woodland) + s(day of year) + altitude:life-stage",51,"34.75"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(upstream catchment area) + s(day of year)",51,"34.85"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(distance to sea, by=pass)",50,"34.86"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(other) + s(day of year)",50,"34.91"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",51,"34.94"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(urban) + s(day of year)",51,"34.94"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(distance to sea, by=pass) + altitude:life-stage",51,"34.96"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + other:life-stage",51,"35.12"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + marsh:pass",51,"35.14"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(marsh, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"35.24"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(distance to sea) + s(day of year)",50,"35.30"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(woodland) + s(day of year)",50,"35.36"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(distance to sea) + s(day of year)",50,"35.37"
"life-stage + organisation + year + pass + life-stage:pass + other + s(distance to sea) + s(day of year)",50,"35.37"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(other):life-stage + s(day of year):life-stage + altitude:life-stage",53,"35.91"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(distance to sea) + s(day of year)",52,"35.92"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(other, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"35.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(woodland):life-stage + s(day of year):life-stage + altitude:life-stage",53,"35.95"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(marsh) + s(day of year)",49,"35.99"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(day of year):life-stage",55,"36.10"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(gradient) + s(day of year)",49,"36.11"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(other, by=pass) + s(day of year):life-stage + altitude:life-stage",55,"36.32"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(woodland, by=pass) + s(day of year):life-stage + altitude:life-stage",55,"36.42"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(gradient, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"37.12"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(day of year, by=pass)",49,"37.24"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(day of year)",51,"37.92"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(woodland, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"38.02"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(distance to sea) + s(day of year)",52,"38.12"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(distance to sea):life-stage",49,"38.23"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(altitude, by=pass)",51,"38.23"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(upstream catchment area):life-stage + altitude:life-stage",54,"38.24"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(urban):life-stage + altitude:life-stage",53,"38.27"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(marsh):life-stage + altitude:life-stage",54,"38.60"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(upstream catchment area, by=pass) + altitude:life-stage",53,"38.68"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(gradient):life-stage + altitude:life-stage",54,"38.76"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.23"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",53,"39.23"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(urban) + s(day of year)",53,"39.23"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.23"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.24"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.24"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.24"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.24"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"39.24"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(marsh) + s(day of year)",51,"39.31"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(upstream catchment area, by=pass)",52,"39.36"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(distance to sea) + s(day of year)",52,"39.38"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(other) + s(day of year)",49,"39.43"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(upstream catchment area) + s(day of year)",53,"39.46"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(upstream catchment area, by=pass)",51,"39.79"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(altitude, by=pass) + altitude:life-stage",52,"39.86"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(distance to sea, by=pass)",49,"40.04"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(urban):life-stage",52,"40.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(urban, by=pass) + altitude:life-stage",53,"40.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(marsh, by=pass) + altitude:life-stage",54,"40.17"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(woodland) + s(day of year)",49,"40.27"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(width):life-stage + altitude:life-stage",52,"40.30"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(gradient) + s(day of year)",51,"40.40"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(distance to sea) + s(day of year)",52,"40.41"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(width, by=pass) + altitude:life-stage",52,"40.67"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(distance to sea) + s(day of year)",52,"40.72"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(day of year, by=pass)",51,"40.73"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(distance to sea) + s(day of year)",52,"40.79"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(altitude):life-stage",55,"41.08"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(woodland):life-stage + altitude:life-stage",54,"41.20"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(other):life-stage + altitude:life-stage",54,"41.21"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(altitude, by=pass)",53,"41.22"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(altitude, by=pass)",53,"41.22"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(distance to sea):life-stage",51,"41.41"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",52,"42.01"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(upstream catchment area):life-stage + altitude:life-stage",53,"42.16"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(urban, by=pass)",52,"42.39"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(gradient, by=pass) + altitude:life-stage",54,"42.77"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(woodland, by=pass) + altitude:life-stage",54,"42.91"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(other, by=pass) + altitude:life-stage",54,"43.17"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(width):life-stage",51,"43.27"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(width):life-stage",51,"43.27"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(distance to sea, by=pass)",51,"43.66"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(width, by=pass)",51,"43.76"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(width, by=pass)",51,"43.76"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(width, by=pass)",51,"43.76"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(other) + s(day of year)",51,"43.80"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(woodland) + s(day of year)",51,"44.16"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(day of year)",49,"44.62"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(marsh) + s(day of year)",53,"45.05"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(upstream catchment area):life-stage",51,"45.05"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(width):life-stage",51,"45.18"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(upstream catchment area):life-stage",52,"45.35"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(day of year)",54,"45.39"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(gradient):life-stage + altitude:life-stage",53,"46.51"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(urban):life-stage",51,"46.54"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(upstream catchment area, by=pass)",53,"46.67"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(day of year, by=pass)",53,"46.81"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(day of year)",54,"46.86"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(marsh):life-stage + altitude:life-stage",53,"46.89"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(distance to sea):life-stage",53,"47.07"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(gradient) + s(day of year)",53,"47.31"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(marsh):life-stage",52,"47.54"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(gradient):life-stage",52,"47.83"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(woodland):life-stage + altitude:life-stage",53,"47.90"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(other):life-stage + altitude:life-stage",53,"48.03"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(day of year)",55,"48.24"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(marsh, by=pass) + altitude:life-stage",53,"48.31"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(day of year)",54,"48.42"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(day of year)",54,"48.48"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(day of year)",54,"48.48"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(marsh, by=pass)",52,"48.61"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(width):life-stage",53,"48.70"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(urban):life-stage",53,"48.90"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(distance to sea, by=pass)",53,"49.08"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(altitude, by=pass)",55,"49.16"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(width, by=pass)",53,"49.18"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(urban, by=pass)",51,"49.25"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",53,"49.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(other) + s(day of year)",53,"49.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(woodland) + s(day of year)",53,"49.33"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(gradient, by=pass)",52,"49.52"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(urban) + s(day of year)",53,"49.99"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(other):life-stage",52,"50.57"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(gradient, by=pass) + altitude:life-stage",53,"50.70"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(woodland):life-stage",52,"50.82"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(woodland, by=pass) + altitude:life-stage",53,"50.99"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(other, by=pass) + altitude:life-stage",53,"51.18"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(other, by=pass)",52,"51.21"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(urban, by=pass)",53,"51.26"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",60,"51.32"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(woodland, by=pass)",52,"51.48"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(upstream catchment area, by=pass)",55,"51.76"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",62,"51.88"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(upstream catchment area):life-stage",53,"52.03"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(day of year):life-stage",57,"52.38"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(gradient):life-stage",51,"52.42"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(marsh) + s(day of year)",55,"52.54"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",53,"52.60"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(day of year)",51,"52.76"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(urban):life-stage",55,"52.93"
